,changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,growth,interval_width,smape,coverage,ambiente_id
55,0.5,0.1,multiplicative,logistic,0.95,0.4126058248333068,0.9107142857142857,2096
38,0.1,0.1,multiplicative,linear,0.95,0.34441355897850295,0.9642857142857143,2111
46,0.1,10.0,multiplicative,linear,0.95,0.7168810980175276,0.9464285714285714,2115
58,0.5,1.0,multiplicative,linear,0.95,0.2321798636326137,0.9285714285714286,2119
25,0.01,1.0,additive,logistic,0.95,1.0337185938457727,0.5892857142857143,2206
59,0.5,1.0,multiplicative,logistic,0.95,0.27646715293222834,0.9642857142857143,2226
15,0.001,10.0,multiplicative,logistic,0.95,0.4090864491214075,0.9464285714285714,2237
54,0.5,0.1,multiplicative,linear,0.95,0.6138206524330508,0.9821428571428571,2243
40,0.1,1.0,additive,linear,0.95,0.20652373840252175,0.8214285714285714,2249
25,0.01,1.0,additive,logistic,0.95,0.47003477140659466,0.7678571428571429,2267
57,0.5,1.0,additive,logistic,0.95,0.12660997355653367,0.9285714285714286,2272
19,0.01,0.01,multiplicative,logistic,0.95,0.10709206627769265,0.9285714285714286,2285
44,0.1,10.0,additive,linear,0.95,0.1221865813636194,0.9107142857142857,2286
46,0.1,10.0,multiplicative,linear,0.95,0.36374365137912984,0.8214285714285714,2294
62,0.5,10.0,multiplicative,linear,0.95,0.79599960351985,0.9107142857142857,2295
15,0.001,10.0,multiplicative,logistic,0.95,0.1588233007100451,0.9285714285714286,2312
33,0.1,0.01,additive,logistic,0.95,0.06892224064832754,0.8571428571428571,2316
45,0.1,10.0,additive,logistic,0.95,0.4874244267904781,0.7857142857142857,2328
41,0.1,1.0,additive,logistic,0.95,0.24109580136139158,0.9464285714285714,2333
38,0.1,0.1,multiplicative,linear,0.95,0.1846928009703062,0.8392857142857143,2398
43,0.1,1.0,multiplicative,logistic,0.95,0.2825413411530783,0.9821428571428571,2425
59,0.5,1.0,multiplicative,logistic,0.95,0.8774061187957536,0.9464285714285714,2455
62,0.5,10.0,multiplicative,linear,0.95,0.4352928589965148,0.6428571428571429,2497
10,0.001,1.0,multiplicative,linear,0.95,0.4735652826673901,0.9821428571428571,2512
11,0.001,1.0,multiplicative,logistic,0.95,0.10116670843902352,0.9821428571428571,2608
60,0.5,10.0,additive,linear,0.95,0.407533664238185,0.6428571428571429,2700
32,0.1,0.01,additive,linear,0.95,0.29182222083279735,0.5,2718
18,0.01,0.01,multiplicative,linear,0.95,0.8179670421780688,0.7321428571428571,2733
42,0.1,1.0,multiplicative,linear,0.95,1.0297347548616513,0.9107142857142857,2805
43,0.1,1.0,multiplicative,logistic,0.95,0.6261258781441414,0.9464285714285714,2849
46,0.1,10.0,multiplicative,linear,0.95,0.7320221978317482,0.9464285714285714,2872
24,0.01,1.0,additive,linear,0.95,0.28023666002022585,0.9821428571428571,2891
47,0.1,10.0,multiplicative,logistic,0.95,0.7919819411879293,0.8928571428571429,2914
18,0.01,0.01,multiplicative,linear,0.95,0.19025225518581226,0.9107142857142857,2920
62,0.5,10.0,multiplicative,linear,0.95,0.414573737107724,0.8928571428571429,2924
33,0.1,0.01,additive,logistic,0.95,0.48610134461826066,0.8392857142857143,3010
12,0.001,10.0,additive,linear,0.95,0.09967762250270377,0.8035714285714286,3013
14,0.001,10.0,multiplicative,linear,0.95,0.6863833601245185,0.9285714285714286,3027
43,0.1,1.0,multiplicative,logistic,0.95,0.21911442745699367,0.9107142857142857,3028
53,0.5,0.1,additive,logistic,0.95,0.4582423661657752,0.9285714285714286,3043
49,0.5,0.01,additive,logistic,0.95,0.05228806910284337,1.0,3112
62,0.5,10.0,multiplicative,linear,0.95,0.7289625105184733,0.9642857142857143,3172
26,0.01,1.0,multiplicative,linear,0.95,0.2836375158799649,0.875,3242
59,0.5,1.0,multiplicative,logistic,0.95,0.27269310539744,0.8928571428571429,3315
63,0.5,10.0,multiplicative,logistic,0.95,0.26593469497783817,0.9285714285714286,3402
28,0.01,10.0,additive,linear,0.95,0.24884687327545651,0.9464285714285714,3420
32,0.1,0.01,additive,linear,0.95,0.7355538065318353,1.0,3434
32,0.1,0.01,additive,linear,0.95,0.4234320257057464,0.9821428571428571,3439
58,0.5,1.0,multiplicative,linear,0.95,0.8195170479451465,0.30357142857142855,3478
42,0.1,1.0,multiplicative,linear,0.95,0.2594510024853991,0.9107142857142857,3489
59,0.5,1.0,multiplicative,logistic,0.95,0.4795499125549693,0.9107142857142857,3539
11,0.001,1.0,multiplicative,logistic,0.95,1.2571618047922026,1.0,3598
55,0.5,0.1,multiplicative,logistic,0.95,0.3181819484681074,0.7678571428571429,3610
32,0.1,0.01,additive,linear,0.95,0.27975406735150204,0.9107142857142857,3655
0,0.001,0.01,additive,linear,0.95,0.37605444991133063,0.5535714285714286,3656
42,0.1,1.0,multiplicative,linear,0.95,0.19223912506210647,0.9107142857142857,3671
34,0.1,0.01,multiplicative,linear,0.95,0.4468349533716345,0.9285714285714286,3687
44,0.1,10.0,additive,linear,0.95,0.13585550524039552,0.875,3702
27,0.01,1.0,multiplicative,logistic,0.95,0.34719424621360817,0.8571428571428571,3722
39,0.1,0.1,multiplicative,logistic,0.95,0.9647746984640019,0.5178571428571429,3745
50,0.5,0.01,multiplicative,linear,0.95,0.5094537583976999,0.9285714285714286,3808
5,0.001,0.1,additive,logistic,0.95,0.1965112815183594,1.0,3816
15,0.001,10.0,multiplicative,logistic,0.95,0.31198983540164066,0.9285714285714286,3855
58,0.5,1.0,multiplicative,linear,0.95,0.2608844801799985,0.8035714285714286,3876
30,0.01,10.0,multiplicative,linear,0.95,0.856583399616056,0.8035714285714286,3879
39,0.1,0.1,multiplicative,logistic,0.95,0.16110969450736431,0.9285714285714286,3881
61,0.5,10.0,additive,logistic,0.95,0.37608883062511783,0.75,3948
6,0.001,0.1,multiplicative,linear,0.95,0.4104158771125073,0.9107142857142857,3950
26,0.01,1.0,multiplicative,linear,0.95,0.12374168356906366,0.9642857142857143,3959
42,0.1,1.0,multiplicative,linear,0.95,0.001201447838294651,1.0,3960
2,0.001,0.01,multiplicative,linear,0.95,0.11819792262806202,0.9285714285714286,3963
6,0.001,0.1,multiplicative,linear,0.95,0.33613113330206673,0.7857142857142857,3968
55,0.5,0.1,multiplicative,logistic,0.95,0.643273331630945,0.7857142857142857,3969
46,0.1,10.0,multiplicative,linear,0.95,0.24313649454811084,0.9285714285714286,3976
52,0.5,0.1,additive,linear,0.95,0.20496580317088386,0.8928571428571429,3989
63,0.5,10.0,multiplicative,logistic,0.95,0.3016545412417364,0.9107142857142857,4033
63,0.5,10.0,multiplicative,logistic,0.95,0.32874007454643894,0.9464285714285714,4037
61,0.5,10.0,additive,logistic,0.95,0.3415974662997899,0.9642857142857143,4038
48,0.5,0.01,additive,linear,0.95,0.40357105380032754,0.9821428571428571,4039
13,0.001,10.0,additive,logistic,0.95,0.5614955080903193,0.9464285714285714,4072
54,0.5,0.1,multiplicative,linear,0.95,0.42317634815813276,0.9285714285714286,4075
58,0.5,1.0,multiplicative,linear,0.95,0.14254058156165786,0.75,4085
47,0.1,10.0,multiplicative,logistic,0.95,1.2671364934269893,0.9821428571428571,4092
34,0.1,0.01,multiplicative,linear,0.95,0.10201979246118183,0.9464285714285714,4099
15,0.001,10.0,multiplicative,logistic,0.95,0.9761210333550369,0.9642857142857143,4107
50,0.5,0.01,multiplicative,linear,0.95,0.06451286014673738,0.9107142857142857,4219
42,0.1,1.0,multiplicative,linear,0.95,0.9442938423502368,1.0,4228
6,0.001,0.1,multiplicative,linear,0.95,0.3784540592416232,0.875,4243
47,0.1,10.0,multiplicative,logistic,0.95,0.7234945464755572,0.7857142857142857,4272
12,0.001,10.0,additive,linear,0.95,0.16407836762807865,0.8571428571428571,4285
48,0.5,0.01,additive,linear,0.95,0.4100239073067126,0.8928571428571429,4460
63,0.5,10.0,multiplicative,logistic,0.95,0.27959225377723484,0.8214285714285714,4519
31,0.01,10.0,multiplicative,logistic,0.95,0.8997695556684695,0.8928571428571429,4533
